Scan speed(mm/sec),Hatch distance(mm),Power (watt),Layer thickness(mm),Linear energy density(joule/m),Energy density (joule/mm^3),Density (g/cc),Densification
800,0.09,350,0.06,437.5,81.02,2.46,0.9844
850,0.09,350,0.06,411.76,76.25,2.47,0.988
900,0.09,350,0.06,388.89,72.02,2.46,0.9856
950,0.09,350,0.06,368.42,68.23,2.46,0.9836
1000,0.09,350,0.06,350,64.81,2.47,0.9872
1050,0.09,350,0.06,333.33,61.73,2.46,0.9832
1100,0.09,350,0.06,318.18,58.92,2.47,0.9872
1150,0.09,350,0.06,304.35,56.36,2.47,0.9864
1200,0.09,350,0.06,291.67,54.01,2.48,0.9908
1250,0.09,350,0.06,280,51.85,2.47,0.9892
1300,0.09,350,0.06,269.23,49.86,2.47,0.986
1350,0.09,350,0.06,259.26,48.01,2.47,0.9872
1400,0.09,350,0.06,250,46.3,2.46,0.9848
800,0.1,350,0.06,437.5,72.92,2.45,0.9792
850,0.1,350,0.06,411.76,68.63,2.45,0.9808
900,0.1,350,0.06,388.89,64.81,2.45,0.9816
950,0.1,350,0.06,368.42,61.4,2.46,0.9852
1000,0.1,350,0.06,350,58.33,2.47,0.986
1050,0.1,350,0.06,333.33,55.56,2.47,0.9876
1100,0.1,350,0.06,318.18,53.03,2.47,0.9884
1150,0.1,350,0.06,304.35,50.72,2.47,0.9888
1200,0.1,350,0.06,291.67,48.61,2.48,0.99
1250,0.1,350,0.06,280,46.67,2.47,0.9876
1300,0.1,350,0.06,269.23,44.87,2.48,0.99
1350,0.1,350,0.06,259.26,43.21,2.48,0.9904
1400,0.1,350,0.06,250,41.67,2.47,0.988
800,0.11,350,0.06,437.5,66.29,2.46,0.9836
850,0.11,350,0.06,411.76,62.39,2.47,0.9876
900,0.11,350,0.06,388.89,58.92,2.47,0.9872
950,0.11,350,0.06,368.42,55.82,2.45,0.9816
1000,0.11,350,0.06,350,53.03,2.48,0.992
1050,0.11,350,0.06,333.33,50.51,2.47,0.9868
1100,0.11,350,0.06,318.18,48.21,2.47,0.9876
1150,0.11,350,0.06,304.35,46.11,2.47,0.9868
1200,0.11,350,0.06,291.67,44.19,2.47,0.9892
1250,0.11,350,0.06,280,42.42,2.47,0.986
1300,0.11,350,0.06,269.23,40.79,2.47,0.9892
1350,0.11,350,0.06,259.26,39.28,2.45,0.98
1400,0.11,350,0.06,250,37.88,2.47,0.9868
800,0.12,350,0.06,437.5,60.76,2.46,0.984
850,0.12,350,0.06,411.76,57.19,2.46,0.984
900,0.12,350,0.06,388.89,54.01,2.46,0.9844
950,0.12,350,0.06,368.42,51.17,2.46,0.982
1000,0.12,350,0.06,350,48.61,2.47,0.9896
1050,0.12,350,0.06,333.33,46.3,2.48,0.99
1100,0.12,350,0.06,318.18,44.19,2.47,0.9888
1150,0.12,350,0.06,304.35,42.27,2.47,0.9888
1200,0.12,350,0.06,291.67,40.51,2.48,0.9916
1250,0.12,350,0.06,280,38.89,2.47,0.9896
1300,0.12,350,0.06,269.23,37.39,2.48,0.99
1350,0.12,350,0.06,259.26,36.01,2.46,0.9848
1400,0.12,350,0.06,250,34.72,2.44,0.9776
800,0.13,350,0.06,437.5,56.09,2.45,0.9808
850,0.13,350,0.06,411.76,52.79,2.48,0.9916
900,0.13,350,0.06,388.89,49.86,2.46,0.9852
950,0.13,350,0.06,368.42,47.23,2.48,0.9924
1000,0.13,350,0.06,350,44.87,2.48,0.9916
1050,0.13,350,0.06,333.33,42.74,2.47,0.9892
1100,0.13,350,0.06,318.18,40.79,2.48,0.99
1150,0.13,350,0.06,304.35,39.02,2.48,0.99
1200,0.13,350,0.06,291.67,37.39,2.47,0.9868
1250,0.13,350,0.06,280,35.9,2.47,0.9876
1300,0.13,350,0.06,269.23,34.52,2.46,0.984
1350,0.13,350,0.06,259.26,33.24,2.46,0.9856
1400,0.13,350,0.06,250,32.05,2.47,0.9864
800,0.14,350,0.06,437.5,52.08,2.47,0.9896
850,0.14,350,0.06,411.76,49.02,2.47,0.9884
900,0.14,350,0.06,388.89,46.3,2.47,0.9876
950,0.14,350,0.06,368.42,43.86,2.47,0.9876
1000,0.14,350,0.06,350,41.67,2.47,0.9864
1050,0.14,350,0.06,333.33,39.68,2.47,0.9896
1100,0.14,350,0.06,318.18,37.88,2.47,0.9872
1150,0.14,350,0.06,304.35,36.23,2.47,0.9868
1200,0.14,350,0.06,291.67,34.72,2.46,0.9844
1250,0.14,350,0.06,280,33.33,2.47,0.9872
1300,0.14,350,0.06,269.23,32.05,2.47,0.9872
1350,0.14,350,0.06,259.26,30.86,2.47,0.9876
1400,0.14,350,0.06,250,29.76,2.46,0.9856
800,0.15,350,0.06,437.5,48.61,2.47,0.9876
850,0.15,350,0.06,411.76,45.75,2.47,0.9872
900,0.15,350,0.06,388.89,43.21,2.48,0.9908
950,0.15,350,0.06,368.42,40.94,2.47,0.9868
1000,0.15,350,0.06,350,38.89,2.47,0.9876
1050,0.15,350,0.06,333.33,37.04,2.48,0.9904
1100,0.15,350,0.06,318.18,35.35,2.48,0.9904
1150,0.15,350,0.06,304.35,33.82,2.47,0.9868
1200,0.15,350,0.06,291.67,32.41,2.45,0.9812
1250,0.15,350,0.06,280,31.11,2.47,0.986
1300,0.15,350,0.06,269.23,29.91,2.46,0.9836
1350,0.15,350,0.06,259.26,28.81,2.45,0.9796
1400,0.15,350,0.06,250,27.78,2.46,0.9832
800,0.09,360,0.06,450,83.33,2.48,0.9908
850,0.09,360,0.06,423.53,78.43,2.48,0.9912
900,0.09,360,0.06,400,74.07,2.48,0.9916
950,0.09,360,0.06,378.95,70.18,2.48,0.992
1000,0.09,360,0.06,360,66.67,2.49,0.994
1050,0.09,360,0.06,342.86,63.49,2.48,0.9928
1100,0.09,360,0.06,327.27,60.61,2.48,0.9924
1150,0.09,360,0.06,313.04,57.97,2.48,0.9932
1200,0.09,360,0.06,300,55.56,2.48,0.9936
1250,0.09,360,0.06,288,53.33,2.49,0.9948
1300,0.09,360,0.06,276.92,51.28,2.47,0.9884
1350,0.09,360,0.06,266.67,49.38,2.48,0.9908
1400,0.09,360,0.06,257.14,47.62,2.48,0.9904
800,0.1,360,0.06,450,75,2.41,0.9644
850,0.1,360,0.06,423.53,70.59,2.46,0.9852
900,0.1,360,0.06,400,66.67,2.44,0.9744
950,0.1,360,0.06,378.95,63.16,2.48,0.9904
1000,0.1,360,0.06,360,60,2.35,0.9416
1050,0.1,360,0.06,342.86,57.14,2.46,0.9848
1100,0.1,360,0.06,327.27,54.55,2.47,0.9868
1150,0.1,360,0.06,313.04,52.17,2.46,0.9848
1200,0.1,360,0.06,300,50,2.48,0.99
1250,0.1,360,0.06,288,48,2.45,0.978
1300,0.1,360,0.06,276.92,46.15,2.44,0.9776
1350,0.1,360,0.06,266.67,44.44,2.48,0.9928
1400,0.1,360,0.06,257.14,42.86,2.48,0.9904
800,0.11,360,0.06,450,68.18,2.45,0.9812
850,0.11,360,0.06,423.53,64.17,2.47,0.9892
900,0.11,360,0.06,400,60.61,2.47,0.9868
950,0.11,360,0.06,378.95,57.42,2.47,0.9888
1000,0.11,360,0.06,360,54.55,2.46,0.9844
1050,0.11,360,0.06,342.86,51.95,2.45,0.978
1100,0.11,360,0.06,327.27,49.59,2.48,0.9904
1150,0.11,360,0.06,313.04,47.43,2.46,0.9852
1200,0.11,360,0.06,300,45.45,2.47,0.9876
1250,0.11,360,0.06,288,43.64,2.47,0.9884
1300,0.11,360,0.06,276.92,41.96,2.47,0.9892
1350,0.11,360,0.06,266.67,40.4,2.47,0.988
1400,0.11,360,0.06,257.14,38.96,2.47,0.9884
800,0.12,360,0.06,450,62.5,2.43,0.97
850,0.12,360,0.06,423.53,58.82,2.47,0.9868
900,0.12,360,0.06,400,55.56,2.47,0.9864
950,0.12,360,0.06,378.95,52.63,2.45,0.9784
1000,0.12,360,0.06,360,50,2.48,0.9908
1050,0.12,360,0.06,342.86,47.62,2.44,0.974
1100,0.12,360,0.06,327.27,45.45,2.48,0.9908
1150,0.12,360,0.06,313.04,43.48,2.48,0.9908
1200,0.12,360,0.06,300,41.67,2.48,0.9912
1250,0.12,360,0.06,288,40,2.47,0.9888
1300,0.12,360,0.06,276.92,38.46,2.47,0.9868
1350,0.12,360,0.06,266.67,37.04,2.46,0.9836
1400,0.12,360,0.06,257.14,35.71,2.47,0.9892
800,0.13,360,0.06,450,57.69,2.46,0.9852
850,0.13,360,0.06,423.53,54.3,2.46,0.9852
900,0.13,360,0.06,400,51.28,2.48,0.9912
950,0.13,360,0.06,378.95,48.58,2.47,0.9888
1000,0.13,360,0.06,360,46.15,2.48,0.9904
1050,0.13,360,0.06,342.86,43.96,2.47,0.9876
1100,0.13,360,0.06,327.27,41.96,2.47,0.9888
1150,0.13,360,0.06,313.04,40.13,2.48,0.9924
1200,0.13,360,0.06,300,38.46,2.45,0.9784
1250,0.13,360,0.06,288,36.92,2.47,0.9868
1300,0.13,360,0.06,276.92,35.5,2.47,0.9892
1350,0.13,360,0.06,266.67,34.19,2.47,0.988
1400,0.13,360,0.06,257.14,32.97,2.47,0.9892
800,0.14,360,0.06,450,53.57,2.48,0.99
850,0.14,360,0.06,423.53,50.42,2.48,0.9924
900,0.14,360,0.06,400,47.62,2.48,0.9912
950,0.14,360,0.06,378.95,45.11,2.48,0.9904
1000,0.14,360,0.06,360,42.86,2.47,0.9896
1050,0.14,360,0.06,342.86,40.82,2.47,0.9872
1100,0.14,360,0.06,327.27,38.96,2.47,0.9888
1150,0.14,360,0.06,313.04,37.27,2.47,0.986
1200,0.14,360,0.06,300,35.71,2.47,0.988
1250,0.14,360,0.06,288,34.29,2.47,0.9872
1300,0.14,360,0.06,276.92,32.97,2.46,0.984
1350,0.14,360,0.06,266.67,31.75,2.47,0.986
1400,0.14,360,0.06,257.14,30.61,2.46,0.9852
800,0.15,360,0.06,450,50,2.45,0.9804
850,0.15,360,0.06,423.53,47.06,2.39,0.9572
900,0.15,360,0.06,400,44.44,2.46,0.9856
950,0.15,360,0.06,378.95,42.11,2.45,0.9808
1000,0.15,360,0.06,360,40,2.45,0.9808
1050,0.15,360,0.06,342.86,38.1,2.45,0.9792
1100,0.15,360,0.06,327.27,36.36,2.47,0.9888
1150,0.15,360,0.06,313.04,34.78,2.47,0.9888
1200,0.15,360,0.06,300,33.33,2.47,0.9864
1250,0.15,360,0.06,288,32,2.46,0.9848
1300,0.15,360,0.06,276.92,30.77,2.47,0.9864
1350,0.15,360,0.06,266.67,29.63,2.47,0.9868
1400,0.15,360,0.06,257.14,28.57,2.32,0.9296
800,0.09,370,0.06,462.5,85.65,2.47,0.988
850,0.09,370,0.06,435.29,80.61,2.46,0.984
900,0.09,370,0.06,411.11,76.13,2.48,0.992
950,0.09,370,0.06,389.47,72.12,2.48,0.9912
1000,0.09,370,0.06,370,68.52,2.47,0.9864
1050,0.09,370,0.06,352.38,65.26,2.44,0.9776
1100,0.09,370,0.06,336.36,62.29,2.48,0.9908
1150,0.09,370,0.06,321.74,59.58,2.47,0.9876
1200,0.09,370,0.06,308.33,57.1,2.47,0.9892
1250,0.09,370,0.06,296,54.81,2.47,0.9892
1300,0.09,370,0.06,284.62,52.71,2.48,0.992
1350,0.09,370,0.06,274.07,50.75,2.47,0.988
1400,0.09,370,0.06,264.29,48.94,2.47,0.9892
800,0.1,370,0.06,462.5,77.08,2.47,0.9896
850,0.1,370,0.06,435.29,72.55,2.48,0.9912
900,0.1,370,0.06,411.11,68.52,2.48,0.9912
950,0.1,370,0.06,389.47,64.91,2.48,0.9936
1000,0.1,370,0.06,370,61.67,2.47,0.986
1050,0.1,370,0.06,352.38,58.73,2.47,0.9872
1100,0.1,370,0.06,336.36,56.06,2.47,0.986
1150,0.1,370,0.06,321.74,53.62,2.46,0.9832
1200,0.1,370,0.06,308.33,51.39,2.48,0.9912
1250,0.1,370,0.06,296,49.33,2.47,0.9872
1300,0.1,370,0.06,284.62,47.44,2.47,0.9892
1350,0.1,370,0.06,274.07,45.68,2.48,0.9912
1400,0.1,370,0.06,264.29,44.05,2.47,0.9892
800,0.11,370,0.06,462.5,70.08,2.47,0.9896
850,0.11,370,0.06,435.29,65.95,2.48,0.9912
900,0.11,370,0.06,411.11,62.29,2.48,0.99
950,0.11,370,0.06,389.47,59.01,2.48,0.9904
1000,0.11,370,0.06,370,56.06,2.46,0.984
1050,0.11,370,0.06,352.38,53.39,2.48,0.9908
1100,0.11,370,0.06,336.36,50.96,2.48,0.9912
1150,0.11,370,0.06,321.74,48.75,2.47,0.9876
1200,0.11,370,0.06,308.33,46.72,2.47,0.9896
1250,0.11,370,0.06,296,44.85,2.46,0.9848
1300,0.11,370,0.06,284.62,43.12,2.47,0.986
1350,0.11,370,0.06,274.07,41.53,2.48,0.9908
1400,0.11,370,0.06,264.29,40.04,2.48,0.9904
800,0.12,370,0.06,462.5,64.24,2.47,0.9896
850,0.12,370,0.06,435.29,60.46,2.45,0.9804
900,0.12,370,0.06,411.11,57.1,2.43,0.9708
950,0.12,370,0.06,389.47,54.09,2.47,0.9872
1000,0.12,370,0.06,370,51.39,2.47,0.988
1050,0.12,370,0.06,352.38,48.94,2.47,0.9872
1100,0.12,370,0.06,336.36,46.72,2.48,0.9908
1150,0.12,370,0.06,321.74,44.69,2.47,0.9884
1200,0.12,370,0.06,308.33,42.82,2.49,0.9948
1250,0.12,370,0.06,296,41.11,2.49,0.9956
1300,0.12,370,0.06,284.62,39.53,2.46,0.984
1350,0.12,370,0.06,274.07,38.07,2.47,0.9868
1400,0.12,370,0.06,264.29,36.71,2.44,0.974
800,0.13,370,0.06,462.5,59.29,2.48,0.9912
850,0.13,370,0.06,435.29,55.81,2.47,0.9872
900,0.13,370,0.06,411.11,52.71,2.48,0.9904
950,0.13,370,0.06,389.47,49.93,2.47,0.9864
1000,0.13,370,0.06,370,47.44,2.48,0.99
1050,0.13,370,0.06,352.38,45.18,2.48,0.9912
1100,0.13,370,0.06,336.36,43.12,2.46,0.9856
1150,0.13,370,0.06,321.74,41.25,2.47,0.9896
1200,0.13,370,0.06,308.33,39.53,2.47,0.9868
1250,0.13,370,0.06,296,37.95,2.47,0.9872
1300,0.13,370,0.06,284.62,36.49,2.37,0.948
1350,0.13,370,0.06,274.07,35.14,2.46,0.9824
1400,0.13,370,0.06,264.29,33.88,2.47,0.9872
800,0.14,370,0.06,462.5,55.06,2.48,0.9928
850,0.14,370,0.06,435.29,51.82,2.48,0.992
900,0.14,370,0.06,411.11,48.94,2.48,0.9908
950,0.14,370,0.06,389.47,46.37,2.48,0.9908
1000,0.14,370,0.06,370,44.05,2.47,0.9896
1050,0.14,370,0.06,352.38,41.95,2.48,0.99
1100,0.14,370,0.06,336.36,40.04,2.47,0.9888
1150,0.14,370,0.06,321.74,38.3,2.46,0.9844
1200,0.14,370,0.06,308.33,36.71,2.46,0.9856
1250,0.14,370,0.06,296,35.24,2.48,0.9936
1300,0.14,370,0.06,284.62,33.88,2.47,0.988
1350,0.14,370,0.06,274.07,32.63,2.46,0.9824
1400,0.14,370,0.06,264.29,31.46,2.46,0.982
800,0.15,370,0.06,462.5,51.39,2.47,0.9864
850,0.15,370,0.06,435.29,48.37,2.47,0.986
900,0.15,370,0.06,411.11,45.68,2.47,0.988
950,0.15,370,0.06,389.47,43.27,2.47,0.9896
1000,0.15,370,0.06,370,41.11,2.47,0.9892
1050,0.15,370,0.06,352.38,39.15,2.47,0.9888
1100,0.15,370,0.06,336.36,37.37,2.47,0.988
1150,0.15,370,0.06,321.74,35.75,2.47,0.988
1200,0.15,370,0.06,308.33,34.26,2.47,0.986
1250,0.15,370,0.06,296,32.89,2.46,0.9832
1300,0.15,370,0.06,284.62,31.62,2.47,0.9868
1350,0.15,370,0.06,274.07,30.45,2.45,0.98
1400,0.15,370,0.06,264.29,29.37,2.47,0.986
950,0.11,330,0.06,347.37,52.63,2.44,0.9764
1050,0.12,330,0.06,314.29,43.65,2.46,0.982
1150,0.13,330,0.06,286.96,36.79,2.47,0.9868
1250,0.14,330,0.06,264,31.43,2.45,0.9788
1350,0.15,330,0.06,244.44,27.16,2.46,0.982
1050,0.11,340,0.06,323.81,49.06,2.46,0.982
1150,0.12,340,0.06,295.65,41.06,2.42,0.9684
1250,0.13,340,0.06,272,34.87,2.46,0.982
1350,0.14,340,0.06,251.85,29.98,2.47,0.9872
950,0.15,340,0.06,357.89,39.77,2.48,0.9908
1150,0.11,350,0.06,304.35,46.11,2.47,0.9892
1250,0.12,350,0.06,280,38.89,2.47,0.9876
1350,0.13,350,0.06,259.26,33.24,2.46,0.9844
950,0.14,350,0.06,368.42,43.86,2.46,0.9844
1050,0.15,350,0.06,333.33,37.04,2.46,0.9848
1250,0.11,360,0.06,288,43.64,2.46,0.9856
1350,0.12,360,0.06,266.67,37.04,2.45,0.9816
950,0.13,360,0.06,378.95,48.58,2.45,0.978
1050,0.14,360,0.06,342.86,40.82,2.46,0.9856
1150,0.15,360,0.06,313.04,34.78,2.46,0.9848
1350,0.11,370,0.06,274.07,41.53,2.48,0.992
950,0.12,370,0.06,389.47,54.09,2.47,0.9888
1050,0.13,370,0.06,352.38,45.18,2.44,0.974
1150,0.14,370,0.06,321.74,38.3,2.48,0.9904
1250,0.15,370,0.06,296,32.89,2.43,0.9716
800,0.09,310,0.06,387.5,71.76,2.45,0.9808
1000,0.11,310,0.06,310,46.97,2.46,0.9836
1200,0.13,310,0.06,258.33,33.12,2.46,0.9828
1400,0.15,310,0.06,221.43,24.6,2.39,0.9556
1000,0.09,330,0.06,330,61.11,2.45,0.9808
800,0.11,330,0.06,412.5,62.5,2.45,0.9812
1400,0.13,330,0.06,235.71,30.22,2.46,0.9828
1200,0.15,330,0.06,275,30.56,2.46,0.9852
1200,0.09,350,0.06,291.67,54.01,2.38,0.9524
1400,0.11,350,0.06,250,37.88,2.42,0.966
800,0.13,350,0.06,437.5,56.09,2.47,0.9872
1000,0.15,350,0.06,350,38.89,2.47,0.9884
1400,0.09,370,0.06,264.29,48.94,2.46,0.9856
1200,0.11,370,0.06,308.33,46.72,2.48,0.9904
1000,0.13,370,0.06,370,47.44,2.41,0.964
800,0.15,370,0.06,462.5,51.39,2.45,0.9796
850,0.1,310,0.06,364.71,60.78,2.46,0.9824
900,0.11,310,0.06,344.44,52.19,2.46,0.9836
950,0.12,310,0.06,326.32,45.32,2.47,0.9868
1000,0.13,310,0.06,310,39.74,2.39,0.9552
850,0.09,320,0.06,376.47,69.72,2.46,0.9844
900,0.1,320,0.06,355.56,59.26,2.47,0.9868
950,0.11,320,0.06,336.84,51.04,2.44,0.974
1000,0.12,320,0.06,320,44.44,2.47,0.9888
800,0.13,320,0.06,400,51.28,2.47,0.988
900,0.09,330,0.06,366.67,67.9,2.47,0.9896
950,0.1,330,0.06,347.37,57.89,2.47,0.9896
1000,0.11,330,0.06,330,50,2.46,0.9832
800,0.12,330,0.06,412.5,57.29,2.47,0.988
850,0.13,330,0.06,388.24,49.77,2.47,0.9868
950,0.09,340,0.06,357.89,66.28,2.47,0.9864
1000,0.1,340,0.06,340,56.67,2.46,0.9836
800,0.11,340,0.06,425,64.39,2.47,0.9884
850,0.12,340,0.06,400,55.56,2.47,0.9896
900,0.13,340,0.06,377.78,48.43,2.48,0.9916
1050,0.11,310,0.06,295.24,44.73,2.46,0.984
1100,0.12,310,0.06,281.82,39.14,2.49,0.996
1150,0.13,310,0.06,269.57,34.56,2.48,0.9912
1200,0.14,310,0.06,258.33,30.75,2.48,0.9912
1250,0.15,310,0.06,248,27.56,2.45,0.9796
1100,0.11,320,0.06,290.91,44.08,2.48,0.99
1150,0.12,320,0.06,278.26,38.65,2.43,0.972
1200,0.13,320,0.06,266.67,34.19,2.47,0.9864
1250,0.14,320,0.06,256,30.48,2.46,0.9852
1050,0.15,320,0.06,304.76,33.86,2.48,0.99
1150,0.11,330,0.06,286.96,43.48,2.48,0.99
1200,0.12,330,0.06,275,38.19,2.47,0.9892
1250,0.13,330,0.06,264,33.85,2.47,0.9888
1050,0.14,330,0.06,314.29,37.41,2.42,0.9672
1100,0.15,330,0.06,300,33.33,2.48,0.9924
1200,0.11,340,0.06,283.33,42.93,2.47,0.9888
1250,0.12,340,0.06,272,37.78,2.48,0.992
1050,0.13,340,0.06,323.81,41.51,2.47,0.9868
1100,0.14,340,0.06,309.09,36.8,2.47,0.9896
1150,0.15,340,0.06,295.65,32.85,2.47,0.9896
